# 04/24/2022_07:01:43
# Current directory: /home/vanltt4/src/DeezyMatch-master
# ------------------
# Arguments:
# input_file_path: /home/vanltt4/src/DeezyMatch-master/inputs/input_dfm_rnn.yaml
# dataset_path: /home/vanltt4/src/DeezyMatch-master/dataset/dataset-string-similarity.txt
# model_name: transformer_cn
# n_train_examples: None
# ------------------
04/24/2022_07:24:12 -- Epoch: 1/10; Train; loss: 0.451; acc: 0.792; precision: 0.790, recall: 0.794, macrof1: 0.792, weightedf1: 0.792
04/24/2022_07:27:40 -- Epoch: 1/10; Valid; loss: 0.377; acc: 0.841; precision: 0.852, recall: 0.826, macrof1: 0.841, weightedf1: 0.841
04/24/2022_07:50:05 -- Epoch: 2/10; Train; loss: 0.360; acc: 0.849; precision: 0.854, recall: 0.841, macrof1: 0.849, weightedf1: 0.849
04/24/2022_07:53:34 -- Epoch: 2/10; Valid; loss: 0.350; acc: 0.853; precision: 0.850, recall: 0.856, macrof1: 0.853, weightedf1: 0.853
04/24/2022_08:15:58 -- Epoch: 3/10; Train; loss: 0.340; acc: 0.858; precision: 0.863, recall: 0.851, macrof1: 0.858, weightedf1: 0.858
04/24/2022_08:19:27 -- Epoch: 3/10; Valid; loss: 0.339; acc: 0.858; precision: 0.865, recall: 0.849, macrof1: 0.858, weightedf1: 0.858
04/24/2022_08:41:53 -- Epoch: 4/10; Train; loss: 0.330; acc: 0.863; precision: 0.867, recall: 0.856, macrof1: 0.863, weightedf1: 0.863
04/24/2022_08:45:21 -- Epoch: 4/10; Valid; loss: 0.332; acc: 0.863; precision: 0.866, recall: 0.857, macrof1: 0.862, weightedf1: 0.862
04/24/2022_09:07:47 -- Epoch: 5/10; Train; loss: 0.323; acc: 0.866; precision: 0.871, recall: 0.860, macrof1: 0.866, weightedf1: 0.866
04/24/2022_09:11:16 -- Epoch: 5/10; Valid; loss: 0.328; acc: 0.864; precision: 0.867, recall: 0.861, macrof1: 0.864, weightedf1: 0.864
04/24/2022_09:33:44 -- Epoch: 6/10; Train; loss: 0.318; acc: 0.869; precision: 0.873, recall: 0.863, macrof1: 0.869, weightedf1: 0.869
04/24/2022_09:37:13 -- Epoch: 6/10; Valid; loss: 0.326; acc: 0.865; precision: 0.869, recall: 0.860, macrof1: 0.865, weightedf1: 0.865
04/24/2022_09:59:42 -- Epoch: 7/10; Train; loss: 0.314; acc: 0.870; precision: 0.874, recall: 0.865, macrof1: 0.870, weightedf1: 0.870
04/24/2022_10:03:12 -- Epoch: 7/10; Valid; loss: 0.323; acc: 0.867; precision: 0.872, recall: 0.860, macrof1: 0.867, weightedf1: 0.867
04/24/2022_10:25:41 -- Epoch: 8/10; Train; loss: 0.311; acc: 0.872; precision: 0.876, recall: 0.866, macrof1: 0.872, weightedf1: 0.872
04/24/2022_10:29:11 -- Epoch: 8/10; Valid; loss: 0.322; acc: 0.866; precision: 0.871, recall: 0.861, macrof1: 0.866, weightedf1: 0.866
04/24/2022_10:51:45 -- Epoch: 9/10; Train; loss: 0.308; acc: 0.873; precision: 0.877, recall: 0.868, macrof1: 0.873, weightedf1: 0.873
04/24/2022_10:55:16 -- Epoch: 9/10; Valid; loss: 0.321; acc: 0.868; precision: 0.877, recall: 0.855, macrof1: 0.868, weightedf1: 0.868
04/24/2022_11:17:53 -- Epoch: 10/10; Train; loss: 0.306; acc: 0.874; precision: 0.878, recall: 0.869, macrof1: 0.874, weightedf1: 0.874
04/24/2022_11:21:24 -- Epoch: 10/10; Valid; loss: 0.319; acc: 0.868; precision: 0.865, recall: 0.872, macrof1: 0.868, weightedf1: 0.868
05/04/2022_06:11:56 -- Epoch: 0/0; Test; loss: 0.308; acc: 0.877; precision: 0.875, recall: 0.881, macrof1: 0.877, weightedf1: 0.877
05/05/2022_14:50:22 -- Epoch: 0/0; Test; loss: 0.319; acc: 0.868; precision: 0.865, recall: 0.872, macrof1: 0.868, weightedf1: 0.868
05/11/2022_08:47:15 -- Epoch: 0/0; Test; loss: 0.308; acc: 0.877; precision: 0.875, recall: 0.881, macrof1: 0.877, weightedf1: 0.877
05/13/2022_17:04:40 -- Epoch: 0/0; Test; loss: 0.559; acc: 0.667; precision: 1.000, recall: 0.667, macrof1: 0.400, weightedf1: 0.800
05/13/2022_17:07:51 -- Epoch: 0/0; Test; loss: 0.673; acc: 0.500; precision: 1.000, recall: 0.500, macrof1: 0.333, weightedf1: 0.667
05/13/2022_17:12:50 -- Epoch: 0/0; Test; loss: 0.673; acc: 0.500; precision: 1.000, recall: 0.500, macrof1: 0.333, weightedf1: 0.667
05/13/2022_17:13:19 -- Epoch: 0/0; Test; loss: 0.673; acc: 0.500; precision: 1.000, recall: 0.500, macrof1: 0.333, weightedf1: 0.667
05/13/2022_17:15:32 -- Epoch: 0/0; Test; loss: 0.308; acc: 0.877; precision: 0.875, recall: 0.881, macrof1: 0.877, weightedf1: 0.877
05/13/2022_17:16:15 -- Epoch: 0/0; Test; loss: 0.308; acc: 0.877; precision: 0.875, recall: 0.881, macrof1: 0.877, weightedf1: 0.877
05/13/2022_17:17:30 -- Epoch: 0/0; Test; loss: 0.308; acc: 0.877; precision: 0.875, recall: 0.881, macrof1: 0.877, weightedf1: 0.877
05/13/2022_17:18:12 -- Epoch: 0/0; Test; loss: 0.673; acc: 0.500; precision: 1.000, recall: 0.500, macrof1: 0.333, weightedf1: 0.667
