# 05/10/2022_09:31:06
# Current directory: /home/vanltt4/src/DeezyMatch-master
# ------------------
# Arguments:
# input_file_path: /home/vanltt4/src/DeezyMatch-master/inputs/input_dfm_rnn.yaml
# dataset_path: /home/vanltt4/src/DeezyMatch-master/dataset/dataset-string-similarity.txt
# model_name: transformer_cn_e512
# n_train_examples: None
# ------------------
05/10/2022_11:32:04 -- Epoch: 1/10; Train; loss: 0.523; acc: 0.746; precision: 0.736, recall: 0.765, macrof1: 0.746, weightedf1: 0.746
05/10/2022_11:48:42 -- Epoch: 1/10; Valid; loss: 0.479; acc: 0.778; precision: 0.765, recall: 0.801, macrof1: 0.777, weightedf1: 0.777
05/10/2022_13:49:29 -- Epoch: 2/10; Train; loss: 0.454; acc: 0.793; precision: 0.795, recall: 0.790, macrof1: 0.793, weightedf1: 0.793
05/10/2022_14:06:07 -- Epoch: 2/10; Valid; loss: 0.441; acc: 0.800; precision: 0.801, recall: 0.797, macrof1: 0.800, weightedf1: 0.800
05/10/2022_16:07:09 -- Epoch: 3/10; Train; loss: 0.431; acc: 0.806; precision: 0.809, recall: 0.801, macrof1: 0.806, weightedf1: 0.806
05/10/2022_16:23:48 -- Epoch: 3/10; Valid; loss: 0.420; acc: 0.813; precision: 0.822, recall: 0.798, macrof1: 0.813, weightedf1: 0.813
05/10/2022_18:24:46 -- Epoch: 4/10; Train; loss: 0.420; acc: 0.812; precision: 0.815, recall: 0.807, macrof1: 0.812, weightedf1: 0.812
05/10/2022_18:41:22 -- Epoch: 4/10; Valid; loss: 0.417; acc: 0.815; precision: 0.813, recall: 0.819, macrof1: 0.815, weightedf1: 0.815
05/10/2022_20:42:18 -- Epoch: 5/10; Train; loss: 0.406; acc: 0.821; precision: 0.823, recall: 0.816, macrof1: 0.821, weightedf1: 0.821
05/10/2022_20:58:54 -- Epoch: 5/10; Valid; loss: 0.401; acc: 0.823; precision: 0.812, recall: 0.841, macrof1: 0.823, weightedf1: 0.823
05/10/2022_22:59:52 -- Epoch: 6/10; Train; loss: 0.397; acc: 0.826; precision: 0.828, recall: 0.822, macrof1: 0.826, weightedf1: 0.826
05/10/2022_23:16:26 -- Epoch: 6/10; Valid; loss: 0.394; acc: 0.828; precision: 0.820, recall: 0.840, macrof1: 0.828, weightedf1: 0.828
05/11/2022_01:17:17 -- Epoch: 7/10; Train; loss: 0.391; acc: 0.829; precision: 0.831, recall: 0.825, macrof1: 0.829, weightedf1: 0.829
05/11/2022_01:33:53 -- Epoch: 7/10; Valid; loss: 0.395; acc: 0.827; precision: 0.812, recall: 0.851, macrof1: 0.827, weightedf1: 0.827
05/11/2022_03:34:41 -- Epoch: 8/10; Train; loss: 0.392; acc: 0.828; precision: 0.830, recall: 0.825, macrof1: 0.828, weightedf1: 0.828
05/11/2022_03:51:16 -- Epoch: 8/10; Valid; loss: 0.394; acc: 0.826; precision: 0.812, recall: 0.849, macrof1: 0.826, weightedf1: 0.826
05/11/2022_05:58:41 -- Epoch: 9/10; Train; loss: 0.387; acc: 0.831; precision: 0.833, recall: 0.828, macrof1: 0.831, weightedf1: 0.831
05/11/2022_06:15:16 -- Epoch: 9/10; Valid; loss: 0.386; acc: 0.831; precision: 0.841, recall: 0.817, macrof1: 0.831, weightedf1: 0.831
05/11/2022_08:15:57 -- Epoch: 10/10; Train; loss: 0.379; acc: 0.835; precision: 0.837, recall: 0.832, macrof1: 0.835, weightedf1: 0.835
05/11/2022_08:32:34 -- Epoch: 10/10; Valid; loss: 0.385; acc: 0.832; precision: 0.824, recall: 0.843, macrof1: 0.832, weightedf1: 0.832
