Lemens J. van	Veuve Lemens
Silvy Sani	סני סילבי
Ettore Colla	קולה אטורה
Bouman Johanna Laura	Kruijder-Bouman Jo
박수근	Pak Su-gŭn
石川 義	Ishikawa Tadashi
Suss Dr.	דר' סוס
Reuven Gross	גרוס ראובן
אלורה ג'ניפר	Allora Jennifer
Piccini Elisabetta	Suor I. P.
אלקלעי שי	Alkalay Shay
Laberador	Juan Fernández
שאול נעמי	Shaul Naomi
Visconti Tedaldo	Gregorius PP. X beato
Arnold Newman	ניומן ארנולד
Newman Abner	ניומן ארנולד
בונוורדי מרצ'לו	Marcelo Bonevardi
Seijiro	Yoshihiko Yoshida
מלרמה סטפן	Mallarme Steph.
Mitello	Agostino
Pseudo-Bede	Venerabilis Baede
Anglicus Beda	Pseudo-Bede
Eliahu Dallal	דלל אליהו
Bach Yehudith	בך יהודית
Guardolino	Carlo Natali
Grey Squirrel	Patrick Swazo Hinds
Giusto Da Guanto	Joos van Wassenhove
Laor Marc	לאור מרק
Doyle Chris	To Ho Fung
בסקין מוריס	Maurice Baskine
大智 勝観	Ochi Shokan
Haggebher Philaleethees	Everardo van der Hooght
Schendel Mira	Dubb Myrrha Dagmar
飯塚 琅玕齋	Yanosuke
歐陽應霽	Yeung Craig Au
Etty Ginat	גינת אתי
Gassel	Lucas van Hellmont
Li Hsi	Wan-ching-lao-jen
Li Xi	Wan-ching-lao-jen
北村 哲郎	Kitamura Tetsuro
כפרי עזרא	Ezra Kafri
Ventura Di Moro	Baldese Pseudo Ambrogio di
Mori Ventura	Baldese Pseudo Ambrogio di
陈树人	Shuren Chen
בטוני פומפיאו גירולמו	Pompeio Batoni
Zonszain Faiga	זונשיין פייגה
אפרתי יעל	Efrati Yael
杉原 信彦	Nobuhiko Sugihara
Duller Yolande C.M.	Wijngaard Yolanda Carla Marijke van de
Kimura Heizō	Mitsuyori
D + S	Elizabeth Diller and Ricardo Scofidio
Johannes-Meister	Master of the Aachener Schrankturen
建畠 覚造	Kakuzo Tatehata
狩野 探道	Morihisa
菊池 一雄	Kikuchi Kazuo
Muto da Ficarolo	Ercole Sarti
Lewis J. F.	Spanish Lewis
איתמר אורנה	Itamar Orna
Miller Hanna	מילר חנה
Odescalchi Benedetto	Innocenzo XI Pope
רוזן דנה	Rosen Dana
קופמן ישראל	Kofman Israel
כהן רות	Ruth Cohn
Gerald Nailor	Walking By The River
Kenji Oomori	大森 健二
